start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,throughput,protocol,direction,throughput_rolled3,time_since_start,run,month,server location
0.0,1.013155,1.0131549835205078,15101600,119244145.23452282,False,False,0,tcp1d,,,119.24414523452282,TCP,downlink,119.24414523452282,0.0,60334,jan,west
1.013155,2.028375,1.015220046043396,35808672,282174664.61232066,False,False,1,tcp1d,,,282.17466461232067,TCP,downlink,200.70940492342174,1.01522,60334,jan,west
2.028375,3.000086,0.9717109799385071,41177184,339007666.68381846,False,False,2,tcp1d,,,339.00766668381846,TCP,downlink,246.80882551022066,1.9869310000000002,60334,jan,west
3.000086,4.002203,1.0021170377731323,42162560,336587910.6791126,False,False,3,tcp1d,,,336.5879106791126,TCP,downlink,319.25674732508395,2.9890480000000004,60334,jan,west
4.002203,5.035977,1.0337740182876587,34362400,265918077.97156918,False,False,4,tcp1d,,,265.9180779715692,TCP,downlink,313.8378851115001,4.022822000000001,60334,jan,west
5.035977,6.000809,0.9648320078849792,33115968,274584323.31733227,False,False,5,tcp1d,,,274.5843233173323,TCP,downlink,292.36343732267136,4.987654,60334,jan,west
6.000809,7.008189,1.0073800086975098,35696832,283482552.2984452,False,False,6,tcp1d,,,283.4825522984452,TCP,downlink,274.66165119578227,5.995034,60334,jan,west
7.008189,8.0035,0.9953110218048096,33161216,266539526.02569085,False,False,7,tcp1d,,,266.53952602569086,TCP,downlink,274.86880054715624,6.9903450000000005,60334,jan,west
8.0035,9.008065,1.0045650005340576,38404608,305840701.03643215,False,False,8,tcp1d,,,305.84070103643216,TCP,downlink,285.2875931201895,7.994910000000001,60334,jan,west
9.008065,10.005996,0.9979310035705566,35912640,287896777.40449816,False,False,9,tcp1d,,,287.89677740449815,TCP,downlink,286.7590014888738,8.992841,60334,jan,west
10.005996,11.016124,1.0101280212402344,35652160,282357556.6687185,False,False,10,tcp1d,,,282.35755666871853,TCP,downlink,292.031678369883,10.002969,60334,jan,west
11.016124,12.000798,0.9846739768981934,33084320,268794104.65761197,False,False,11,tcp1d,,,268.79410465761197,TCP,downlink,279.68281291027625,10.987643,60334,jan,west
12.000798,13.002173,1.0013749599456787,41957408,335198379.6541192,False,False,12,tcp1d,,,335.1983796541192,TCP,downlink,295.45001366015,11.989018000000002,60334,jan,west
13.002173,14.000111,0.9979379773139954,42243392,338645430.56032723,False,False,13,tcp1d,,,338.6454305603272,TCP,downlink,314.2126382906862,12.986956000000001,60334,jan,west
14.000111,15.007451,1.0073399543762207,42112352,334444012.20898587,False,False,14,tcp1d,,,334.44401220898584,TCP,downlink,336.0959408078108,13.994296,60334,jan,west
15.007451,16.001414,0.9939630031585693,41404160,333245079.49231744,False,False,15,tcp1d,,,333.2450794923174,TCP,downlink,335.44484075387686,14.988259000000001,60334,jan,west
16.001414,17.00081,0.999396026134491,41419584,331556923.71685356,False,False,16,tcp1d,,,331.55692371685353,TCP,downlink,333.08200513938567,15.987655,60334,jan,west
17.00081,18.004178,1.0033680200576782,41838368,333583428.32250077,False,False,17,tcp1d,,,333.58342832250077,TCP,downlink,332.7951438438906,16.991023000000002,60334,jan,west
18.004178,19.000398,0.9962199926376343,41805856,335715856.4088885,False,False,18,tcp1d,,,335.7158564088885,TCP,downlink,333.61873614941425,17.987243,60334,jan,west
19.000398,20.001012,1.000614047050476,41315104,330318001.2056405,False,False,19,tcp1d,,,330.3180012056405,TCP,downlink,333.2057619790099,18.987857,60334,jan,west
20.001012,21.001419,1.0004069805145264,40984000,327738616.7691171,False,False,20,tcp1d,,,327.73861676911713,TCP,downlink,331.25749146121535,19.988264,60334,jan,west
21.001419,22.001998,1.0005789995193481,35028928,280069264.030742,False,False,21,tcp1d,,,280.069264030742,TCP,downlink,312.70862733516657,20.988843000000003,60334,jan,west
22.001998,23.006338,1.0043400526046753,38365568,305598231.59896475,False,False,22,tcp1d,,,305.59823159896473,TCP,downlink,304.46870413294135,21.993183000000002,60334,jan,west
23.006338,24.033754,1.0274159908294678,41286880,321481311.3170855,False,False,23,tcp1d,,,321.4813113170855,TCP,downlink,302.3829356489308,23.020599,60334,jan,west
24.033754,25.001974,0.9682199954986572,33030432,272916751.59415406,False,False,24,tcp1d,,,272.91675159415405,TCP,downlink,299.99876483673484,23.988819000000003,60334,jan,west
25.001974,26.000481,0.998507022857666,33074688,264993132.6899816,False,False,25,tcp1d,,,264.9931326899816,TCP,downlink,286.4637318670738,24.987326000000003,60334,jan,west
26.000481,27.013295,1.0128140449523926,35738112,282287649.371449,False,False,26,tcp1d,,,282.287649371449,TCP,downlink,273.399177885195,26.000140000000002,60334,jan,west
27.013295,28.000888,0.9875929951667786,33073312,267910462.40189084,False,False,27,tcp1d,,,267.91046240189087,TCP,downlink,271.7304148211072,26.987733000000002,60334,jan,west
28.000888,29.021275,1.020387053489685,35740000,280207396.8129686,False,False,28,tcp1d,,,280.2073968129686,TCP,downlink,276.80183619543624,28.00812,60334,jan,west
29.021275,30.00075,0.9794750213623047,31762080,259421255.73206472,False,False,29,tcp1d,,,259.4212557320647,TCP,downlink,269.1797049823082,28.987595000000002,60334,jan,west
