start,end,seconds,bytes,bits_per_second,omitted,sender,interval,type,rtt,snd_cwnd,timestamp,throughput,protocol,direction,throughput_rolled3
0.0,1.007601,1.007601022720337,5885152,46726050.23056587,False,False,0,summary,,,2021-01-23 17:43:27.007601,46.72605023056587,TCP,downlink,46.72605023056587
1.007601,2.002377,0.9947760105133057,19189696,154323753.66670206,False,False,1,summary,,,2021-01-23 17:43:28.002377,154.32375366670206,TCP,downlink,100.52490194863397
2.002377,3.002489,1.0001120567321777,56806784,454403353.04516715,False,False,2,summary,,,2021-01-23 17:43:29.002489,454.40335304516714,TCP,downlink,218.48438564747835
3.002489,4.002135,0.999646008014679,141907232,1135659870.492205,False,False,3,summary,,,2021-01-23 17:43:30.002135,1135.6598704922048,TCP,downlink,581.4623257346914
4.002135,5.005816,1.003680944442749,176825632,1409417070.068416,False,False,4,summary,,,2021-01-23 17:43:31.005816,1409.417070068416,TCP,downlink,999.8267645352627
5.005816,6.002478,0.9966620206832886,170076352,1365167717.6052084,False,False,5,summary,,,2021-01-23 17:43:32.002478,1365.1677176052085,TCP,downlink,1303.4148860552766
6.002478,7.000765,0.9982870221138,169849312,1361126074.8665767,False,False,6,summary,,,2021-01-23 17:43:33.000765,1361.1260748665766,TCP,downlink,1378.5702875134004
7.000765,8.000024,0.9992589950561523,171381824,1372071303.6192935,False,False,7,summary,,,2021-01-23 17:43:34.000024,1372.0713036192935,TCP,downlink,1366.1216986970264
8.000024,9.005422,1.0053980350494385,168377344,1339786537.3128195,False,False,8,summary,,,2021-01-23 17:43:35.005422,1339.7865373128195,TCP,downlink,1357.66130526623
9.005422,10.002326,0.9969040155410767,145751424,1169632556.2166977,False,False,9,summary,,,2021-01-23 17:43:36.002326,1169.6325562166976,TCP,downlink,1293.8301323829373
10.002326,11.000703,0.9983770251274109,169597504,1358985631.5321863,False,False,10,summary,,,2021-01-23 17:43:37.000703,1358.9856315321863,TCP,downlink,1289.4682416872347
11.000703,12.00461,1.0039069652557373,138801248,1106088534.5258381,False,False,11,summary,,,2021-01-23 17:43:38.004610,1106.0885345258382,TCP,downlink,1211.5689074249076
12.00461,13.002334,0.9977239966392517,171964224,1378852063.9314828,False,False,12,summary,,,2021-01-23 17:43:39.002334,1378.8520639314827,TCP,downlink,1281.308743329836
13.002334,14.000972,0.9986379742622375,171522176,1374048897.9639711,False,False,13,summary,,,2021-01-23 17:43:40.000972,1374.048897963971,TCP,downlink,1286.329832140431
14.000972,15.00677,1.0057979822158813,169931872,1351618317.0351706,False,False,14,summary,,,2021-01-23 17:43:41.006770,1351.6183170351705,TCP,downlink,1368.1730929768748
15.00677,16.001283,0.9945129752159119,170687296,1373032229.874674,False,False,15,summary,,,2021-01-23 17:43:42.001283,1373.0322298746742,TCP,downlink,1366.233148291272
16.001283,17.000037,0.9987540245056152,173935360,1393218796.4787288,False,False,16,summary,,,2021-01-23 17:43:43.000037,1393.2187964787288,TCP,downlink,1372.623114462858
17.000037,18.003727,1.0036900043487549,171396960,1366134637.2475717,False,False,17,summary,,,2021-01-23 17:43:44.003727,1366.1346372475716,TCP,downlink,1377.4618878669917
18.003727,19.002436,0.9987090229988098,170487776,1365665250.4296293,False,False,18,summary,,,2021-01-23 17:43:45.002436,1365.6652504296294,TCP,downlink,1375.0062280519767
19.002436,20.000757,0.998320996761322,170582720,1366956885.0371106,False,False,19,summary,,,2021-01-23 17:43:46.000757,1366.9568850371106,TCP,downlink,1366.2522575714372
20.000757,21.000041,0.999284029006958,171421760,1372356647.5517554,False,False,20,summary,,,2021-01-23 17:43:47.000041,1372.3566475517555,TCP,downlink,1368.326261006165
21.000041,22.001192,1.0011509656906128,173464384,1386119695.7870665,False,False,21,summary,,,2021-01-23 17:43:48.001192,1386.1196957870663,TCP,downlink,1375.144409458644
22.001192,23.00003,0.9988380074501038,174188864,1395132045.042461,False,False,22,summary,,,2021-01-23 17:43:49.000030,1395.132045042461,TCP,downlink,1384.5361294604274
23.00003,24.001665,1.001634955406189,171632960,1370822446.4302835,False,False,23,summary,,,2021-01-23 17:43:50.001665,1370.8224464302834,TCP,downlink,1384.0247290866037
24.001665,25.003117,1.0014519691467285,174753376,1396000058.9855218,False,False,24,summary,,,2021-01-23 17:43:51.003117,1396.0000589855217,TCP,downlink,1387.3181834860889
25.003117,26.000393,0.9972760081291199,172114208,1380674610.4151013,False,False,25,summary,,,2021-01-23 17:43:52.000393,1380.6746104151014,TCP,downlink,1382.4990386103025
26.000393,27.000504,1.0001109838485718,169885088,1358929884.7314534,False,False,26,summary,,,2021-01-23 17:43:53.000504,1358.9298847314535,TCP,downlink,1378.5348513773588
27.000504,28.003938,1.0034339427947998,172130720,1372333246.1373625,False,False,27,summary,,,2021-01-23 17:43:54.003938,1372.3332461373625,TCP,downlink,1370.6459137613058
28.003938,29.002593,0.9986550211906433,170798752,1368230256.7015843,False,False,28,summary,,,2021-01-23 17:43:55.002593,1368.2302567015843,TCP,downlink,1366.4977958568
29.002593,30.002914,1.0003210306167603,144757952,1157691961.435602,False,False,29,summary,,,2021-01-23 17:43:56.002914,1157.691961435602,TCP,downlink,1299.418488091516
